	Nationality	Date	Classification
13013	American	1964	Illustrated Book
13014	Italian	1993	Illustrated Book
13015	Czech	1911	Illustrated Book
13016	Czech	1910	Illustrated Book
13017	Czech	1911	Illustrated Book
13018	Czech	1911	Illustrated Book
13019	Czech	1911	Illustrated Book
13020	Czech	1911	Illustrated Book
13021	Czech	1911	Illustrated Book
13022	Czech	1911	Illustrated Book
13023	Czech	1911	Illustrated Book
13024	Czech	1911	Illustrated Book
13025	Czech	1911	Illustrated Book
13026	Czech	1911	Illustrated Book
13027	Czech	1911	Illustrated Book
13028	Czech	1911	Illustrated Book
13029	Czech	1911	Illustrated Book
13030	Czech	1911	Illustrated Book
13031	Czech	1911	Illustrated Book
13032	Czech	1911	Illustrated Book
13033	Czech	1911	Illustrated Book
13034	Czech	1911	Illustrated Book
13035	Czech	1911	Illustrated Book
13036	Czech	1911	Illustrated Book
13037	Czech	1911	Illustrated Book
13038	Czech	1911	Illustrated Book
13039	Czech	1911	Illustrated Book
13040	Czech	1911	Illustrated Book
13041	Czech	1911	Illustrated Book
13042	Czech	1911	Illustrated Book
13043	Czech	1911	Illustrated Book
13044	Czech	1911	Illustrated Book
13045	Czech	1911	Illustrated Book
13046	Czech	1911	Illustrated Book
13047	Czech	1911	Illustrated Book
13048	Czech	1911	Illustrated Book
13049	Czech	1911	Illustrated Book
13050	Czech	1911	Illustrated Book
13051	Czech	1911	Illustrated Book
13052	Czech	1911	Illustrated Book
13053	Czech	1911	Illustrated Book
13054	Czech	1911	Illustrated Book
13055	Czech	1911	Illustrated Book
13056	Czech	1911	Illustrated Book
13057	Czech	1911	Illustrated Book
13058	Czech	1911	Illustrated Book
13059	Czech	1911	Illustrated Book
13060	Czech	1911	Illustrated Book
13061	Czech	1911	Illustrated Book
13062	Czech	1911	Illustrated Book
13063	Czech	1911	Illustrated Book
13064	Czech	1911	Illustrated Book
13065	Czech	1911	Illustrated Book
13066	Czech	1911	Illustrated Book
13067	Czech	1911	Illustrated Book
13068	Czech	1911	Illustrated Book
13069	Czech	1911	Illustrated Book
13070	Czech	1911	Illustrated Book
13071	Czech	1911	Illustrated Book
13072	Czech	1911	Illustrated Book
13073	Czech	1911	Illustrated Book
13074	Czech	1911	Illustrated Book
13075	Czech	1911	Illustrated Book
13076	Czech	1911	Illustrated Book
13077	Czech	1911	Illustrated Book
13078	Czech	1911	Illustrated Book
13079	Czech	1911	Illustrated Book
13080	Czech	1911	Illustrated Book
13081	Czech	1911	Illustrated Book
13082	Czech	1911	Illustrated Book
13083	Czech	1911	Illustrated Book
13084	Czech	1911	Illustrated Book
13085	Czech	1911	Illustrated Book
13086	Czech	1911	Illustrated Book
13087	Czech	1911	Illustrated Book
13088	Czech	1911	Illustrated Book
13089	Czech	1911	Illustrated Book
13090	Czech	1911	Illustrated Book
13091	Czech	1911	Illustrated Book
13092	Czech	1911	Illustrated Book
13093	Czech	1911	Illustrated Book
13094	Czech	1911	Illustrated Book
13095	German	1993	Illustrated Book
13096	German	1993	Illustrated Book
13097	German	1993	Illustrated Book
13098	German	1993	Illustrated Book
13099	German	1993	Illustrated Book
13100	German	1993	Illustrated Book
13101	German	1993	Illustrated Book
13102	German	1993	Illustrated Book
13103	German	1993	Illustrated Book
13104	German	1993	Illustrated Book
13105	German	1993	Illustrated Book
13106	German	1993	Illustrated Book
13107	German	1993	Illustrated Book
13108	German	1993	Illustrated Book
13109	German	1993	Illustrated Book
13110	Czech	1924	Illustrated Book
13111	Czech	1910	Illustrated Book
13112	Czech	1924	Illustrated Book
13113	Czech	1924	Illustrated Book
13114	Czech	1924	Illustrated Book
13115	Czech	1924	Illustrated Book
13116	Czech	1924	Illustrated Book
13117	Czech	1924	Illustrated Book
13118	Czech	1924	Illustrated Book
13119	Czech	1924	Illustrated Book
13120	Czech	1924	Illustrated Book
13121	Czech	1924	Illustrated Book
13122	Czech	1924	Illustrated Book
13123	Czech	1924	Illustrated Book
13124	Czech	1924	Illustrated Book
13125	Czech	1924	Illustrated Book
13126	Czech	1924	Illustrated Book
13127	Czech	1924	Illustrated Book
13128	Czech	1924	Illustrated Book
13129	Czech	1924	Illustrated Book
13130	Czech	1924	Illustrated Book
13131	Czech	1924	Illustrated Book
13132	Czech	1924	Illustrated Book
13133	Czech	1924	Illustrated Book
13134	Czech	1924	Illustrated Book
13135	Czech	1924	Illustrated Book
13136	Czech	1924	Illustrated Book
13137	Czech	1924	Illustrated Book
13138	Czech	1924	Illustrated Book
13139	Czech	1924	Illustrated Book
13140	Czech	1924	Illustrated Book
13141	Czech	1924	Illustrated Book
13142	Czech	1924	Illustrated Book
13143	Czech	1924	Illustrated Book
13144	Czech	1924	Illustrated Book
13145	Czech	1924	Illustrated Book
13146	Czech	1924	Illustrated Book
13147	Czech	1924	Illustrated Book
13148	Czech	1924	Illustrated Book
13149	French	1947	Illustrated Book
13150	Russian	1925	Illustrated Book
13151	American	1965	Illustrated Book
13152	American	1965	Illustrated Book
13153	American	1965	Illustrated Book
13154	American	1965	Illustrated Book
13155	American	1965	Illustrated Book
13156	American	1965	Illustrated Book
13157	American	1965	Illustrated Book
13158	American	1965	Illustrated Book
13159	American	1965	Illustrated Book
13160	American	1965	Illustrated Book
13161	American	1965	Illustrated Book
13162	American	1965	Illustrated Book
13163	American	1965	Illustrated Book
13164	American	1965	Illustrated Book
13165	American	1965	Illustrated Book
13166	American	1965	Illustrated Book
13167	American	1965	Illustrated Book
13168	British	1969	Illustrated Book
13169	British	1970	Illustrated Book
13170	British	1970	Illustrated Book
13171	British	1970	Illustrated Book
13172	British	1970	Illustrated Book
13173	British	1970	Illustrated Book
13174	British	1970	Illustrated Book
13175	British	1970	Illustrated Book
13176	British	1970	Illustrated Book
13177	British	1970	Illustrated Book
13178	British	1970	Illustrated Book
13179	British	1970	Illustrated Book
13180	British	1970	Illustrated Book
13181	British	1970	Illustrated Book
13182	British	1970	Illustrated Book
13183	British	1970	Illustrated Book
13184	British	1970	Illustrated Book
13185	British	1970	Illustrated Book
13186	British	1970	Illustrated Book
13187	British	1970	Illustrated Book
13188	British	1970	Illustrated Book
13189	British	1970	Illustrated Book
13190	British	1970	Illustrated Book
13191	British	1970	Illustrated Book
13192	British	1970	Illustrated Book
13193	British	1970	Illustrated Book
13194	British	1970	Illustrated Book
13195	British	1970	Illustrated Book
13196	British	1970	Illustrated Book
13197	British	1970	Illustrated Book
13198	British	1970	Illustrated Book
13199	British	1970	Illustrated Book
13200	British	1970	Illustrated Book
13201	British	1970	Illustrated Book
13202	British	1970	Illustrated Book
13203	British	1970	Illustrated Book
13204	British	1970	Illustrated Book
13205	British	1970	Illustrated Book
13206	British	1970	Illustrated Book
13207	British	1970	Illustrated Book
13208	British	1970	Illustrated Book
13209	British	1970	Illustrated Book
13210	British	1970	Illustrated Book
13211	British	1970	Illustrated Book
13212	British	1970	Illustrated Book
13213	British	1970	Illustrated Book
13214	Spanish	1931	Illustrated Book
13215	American	1947	Illustrated Book
13216	American	1947	Illustrated Book
13217	American	1947	Illustrated Book
13218	American	1947	Illustrated Book
13219	American	1947	Illustrated Book
13220	American	1947	Illustrated Book
13221	American	1947	Illustrated Book
13222	American	1947	Illustrated Book
13223	American	1947	Illustrated Book
13224	American	1947	Illustrated Book
13225	French	1949	Illustrated Book
13226	American	1971	Illustrated Book
13227	American	1972	Illustrated Book
13228	American	1971	Illustrated Book
13229	American	1971	Illustrated Book
13230	American	1971	Illustrated Book
13231	American	1969	Illustrated Book
13232	American	1971	Illustrated Book
13233	American	1971	Illustrated Book
13234	American	1971	Illustrated Book
13235	American	1971	Illustrated Book
13236	American	1972	Illustrated Book
13237	American	1972	Illustrated Book
13238	American	1969	Illustrated Book
13239	American	1969	Illustrated Book
13240	American	1971	Illustrated Book
13241	American	1971	Illustrated Book
13242	American	1968	Illustrated Book
13243	American	1969	Illustrated Book
13244	American	1971	Illustrated Book
13245	American	1969	Illustrated Book
13246	American	1971	Illustrated Book
13247	American	1969	Illustrated Book
13248	Italian	1993	Illustrated Book
13249	Russian	1924	Illustrated Book
13250	Italian	1965	Illustrated Book
13251	Italian	1965	Illustrated Book
13252	Italian	1965	Illustrated Book
13253	Italian	1965	Illustrated Book
13254	Italian	1965	Illustrated Book
13255	Italian	1965	Illustrated Book
13256	Italian	1965	Illustrated Book
13257	Italian	1965	Illustrated Book
13258	Italian	1965	Illustrated Book
13259	Italian	1965	Illustrated Book
13260	Italian	1965	Illustrated Book
13261	Italian	1965	Illustrated Book
13262	Italian	1965	Illustrated Book
13263	Italian	1965	Illustrated Book
13264	Italian	1965	Illustrated Book
13265	Italian	1965	Illustrated Book
13266	Italian	1965	Illustrated Book
13267	Italian	1965	Illustrated Book
13268	Italian	1965	Illustrated Book
13269	Italian	1965	Illustrated Book
13270	Italian	1965	Illustrated Book
13271	Italian	1965	Illustrated Book
13272	Italian	1965	Illustrated Book
13273	Spanish	1971	Illustrated Book
13274	Spanish	1971	Illustrated Book
13275	Spanish	1971	Illustrated Book
13276	Spanish	1971	Illustrated Book
13277	Spanish	1971	Illustrated Book
13278	Spanish	1971	Illustrated Book
13279	Spanish	1971	Illustrated Book
13280	Spanish	1971	Illustrated Book
13281	Spanish	1971	Illustrated Book
13282	Spanish	1971	Illustrated Book
13283	Spanish	1971	Illustrated Book
13284	Spanish	1971	Illustrated Book
13285	Spanish	1971	Illustrated Book
13286	Spanish	1971	Illustrated Book
13287	Spanish	1971	Illustrated Book
13288	Spanish	1971	Illustrated Book
13289	Spanish	1971	Illustrated Book
13290	American	1993	Illustrated Book
13291	Russian	1924	Illustrated Book
13292	French	1965	Illustrated Book
13293	French	1965	Illustrated Book
13294	French	1965	Illustrated Book
13295	French	1965	Illustrated Book
13296	French	1965	Illustrated Book
13297	French	1965	Illustrated Book
13298	French	1965	Illustrated Book
13299	American	1969	Illustrated Book
13300	American	1969	Illustrated Book
13301	American	1969	Illustrated Book
13302	American	1969	Illustrated Book
13303	American	1969	Illustrated Book
13304	American	1969	Illustrated Book
13305	American	1969	Illustrated Book
13306	American	1969	Illustrated Book
13307	American	1969	Illustrated Book
13308	American	1969	Illustrated Book
13309	American	1969	Illustrated Book
13310	American	1969	Illustrated Book
13311	American	1969	Illustrated Book
13312	American	1969	Illustrated Book
13313	American	1969	Illustrated Book
13314	American	1969	Illustrated Book
13315	American	1969	Illustrated Book
13316	American	1969	Illustrated Book
13317	American	1969	Illustrated Book
13318	American	1969	Illustrated Book
13319	American	1969	Illustrated Book
13320	American	1969	Illustrated Book
13321	American	1969	Illustrated Book
13322	American	1969	Illustrated Book
13323	American	1969	Illustrated Book
13324	American	1969	Illustrated Book
13325	American	1969	Illustrated Book
13326	American	1969	Illustrated Book
13327	American	1969	Illustrated Book
13328	American	1969	Illustrated Book
13329	American	1969	Illustrated Book
13330	American	1969	Illustrated Book
13331	American	1969	Illustrated Book
13332	American	1969	Illustrated Book
13333	American	1969	Illustrated Book
13334	American	1969	Illustrated Book
13335	American	1969	Illustrated Book
13336	American	1969	Illustrated Book
13337	American	1969	Illustrated Book
13338	American	1969	Illustrated Book
13339	American	1969	Illustrated Book
13340	Czech	1983	Illustrated Book
13341	Russian	1928	Illustrated Book
13342	French	1957	Illustrated Book
13343	French	1957	Illustrated Book
13344	French	1957	Illustrated Book
13345	French	1957	Illustrated Book
13346	French	1957	Illustrated Book
13347	French	1957	Illustrated Book
13348	French	1957	Illustrated Book
13349	French	1957	Illustrated Book
13350	French	1957	Illustrated Book
13351	French	1957	Illustrated Book
13352	French	1957	Illustrated Book
13353	French	1957	Illustrated Book
13354	French	1957	Illustrated Book
13355	French	1957	Illustrated Book
13356	French	1957	Illustrated Book
13357	French	1957	Illustrated Book
13358	Russian	1927	Illustrated Book
13359	Russian	1923	Illustrated Book
13360	Russian	1923	Illustrated Book
13361	German	1955	Illustrated Book
13362	German	1955	Illustrated Book
13363	German	1955	Illustrated Book
13364	American	1957	Illustrated Book
13365	American	1957	Illustrated Book
13366	American	1957	Illustrated Book
13367	American	1957	Illustrated Book
13368	American	1957	Illustrated Book
13369	American	1957	Illustrated Book
13370	American	1957	Illustrated Book
13371	American	1957	Illustrated Book
13372	American	1957	Illustrated Book
13373	American	1957	Illustrated Book
13374	American	1957	Illustrated Book
13375	Russian	1929	Illustrated Book
13376	French	1957	Illustrated Book
13377	French	1957	Illustrated Book
13378	French	1957	Illustrated Book
13379	French	1957	Illustrated Book
13380	French	1957	Illustrated Book
13381	French	1957	Illustrated Book
13382	French	1957	Illustrated Book
13383	French	1957	Illustrated Book
13384	French	1957	Illustrated Book
13385	French	1957	Illustrated Book
13386	French	1957	Illustrated Book
13387	German	1966	Illustrated Book
13388	German	1966	Illustrated Book
13389	German	1966	Illustrated Book
13390	German	1966	Illustrated Book
13391	German	1966	Illustrated Book
13392	German	1966	Illustrated Book
13393	German	1966	Illustrated Book
13394	American	1984	Illustrated Book
13395	Various	1984	Illustrated Book
13396	American	1984	Illustrated Book
13397	American	1984	Illustrated Book
13398	American	1984	Illustrated Book
13399	American	1984	Illustrated Book
13400	American	1984	Illustrated Book
13401	American	1984	Illustrated Book
13402	American	1984	Illustrated Book
13403	American	1984	Illustrated Book
13404	American	1984	Illustrated Book
13405	American	1984	Illustrated Book
13406	American	1984	Illustrated Book
13407	American	1984	Illustrated Book
13408	American	1984	Illustrated Book
13409	American	1984	Illustrated Book
13410	American	1984	Illustrated Book
13411	American	1984	Illustrated Book
13412	American	1984	Illustrated Book
13413	American	1984	Illustrated Book
13414	American	1984	Illustrated Book
13415	Russian	1925	Illustrated Book
13416	Italian	1966	Illustrated Book
13417	Italian	1966	Illustrated Book
13418	Italian	1966	Illustrated Book
13419	Italian	1966	Illustrated Book
13420	Italian	1966	Illustrated Book
13421	Italian	1966	Illustrated Book
13422	Italian	1966	Illustrated Book
13423	Italian	1966	Illustrated Book
13424	Italian	1966	Illustrated Book
13425	Italian	1966	Illustrated Book
13426	Italian	1966	Illustrated Book
13427	Italian	1966	Illustrated Book
13428	Italian	1966	Illustrated Book
13429	Italian	1966	Illustrated Book
13430	Italian	1966	Illustrated Book
13431	Italian	1966	Illustrated Book
13432	Italian	1966	Illustrated Book
13433	Italian	1966	Illustrated Book
13434	Italian	1966	Illustrated Book
13435	American	1984	Illustrated Book
13436	American	1984	Illustrated Book
13437	American	1984	Illustrated Book
13438	American	1984	Illustrated Book
13439	American	1984	Illustrated Book
13440	American	1984	Illustrated Book
13441	Italian	1966	Illustrated Book
13442	Italian	1966	Illustrated Book
13443	Italian	1966	Illustrated Book
13444	Italian	1966	Illustrated Book
13445	Italian	1966	Illustrated Book
13446	Italian	1966	Illustrated Book
13447	Italian	1966	Illustrated Book
13448	Italian	1966	Illustrated Book
13449	Italian	1966	Illustrated Book
13450	Italian	1966	Illustrated Book
13451	Italian	1966	Illustrated Book
13452	Italian	1966	Illustrated Book
13453	Italian	1966	Illustrated Book
13454	Argentine	1964	Illustrated Book
13455	Argentine	1964	Illustrated Book
13456	Argentine	1964	Illustrated Book
13457	Argentine	1964	Illustrated Book
13458	Argentine	1964	Illustrated Book
13459	Argentine	1964	Illustrated Book
13460	Argentine	1964	Illustrated Book
13461	Argentine	1964	Illustrated Book
13462	Argentine	1964	Illustrated Book
13463	Australian	1982	Illustrated Book
13464	French	1911	Illustrated Book
13465	French	1911	Illustrated Book
13466	French	1911	Illustrated Book
13467	French	1911	Illustrated Book
13468	French	1911	Illustrated Book
13469	French	1911	Illustrated Book
13470	French	1911	Illustrated Book
13471	French	1911	Illustrated Book
13472	French	1911	Illustrated Book
13473	French	1911	Illustrated Book
13474	French	1911	Illustrated Book
13475	French	1911	Illustrated Book
13476	American	1964	Illustrated Book
13477	Various	1964	Illustrated Book
13478	American	1964	Illustrated Book
13479	American	1964	Illustrated Book
13480	American	1964	Illustrated Book
13481	American	1964	Illustrated Book
13482	American	1964	Illustrated Book
13483	American	1964	Illustrated Book
13484	American	1964	Illustrated Book
13485	American	1964	Illustrated Book
13486	American	1964	Illustrated Book
13487	American	1964	Illustrated Book
13488	American	1964	Illustrated Book
13489	American	1964	Illustrated Book
13490	American	1964	Illustrated Book
13491	American	1964	Illustrated Book
13492	American	1964	Illustrated Book
13493	American	1964	Illustrated Book
13494	Canadian	1964	Illustrated Book
13495	American	1964	Illustrated Book
13496	American	1964	Illustrated Book
13497	Argentine	1965	Illustrated Book
13498	Argentine	1965	Illustrated Book
13499	Argentine	1965	Illustrated Book
13500	Argentine	1965	Illustrated Book
13501	Argentine	1965	Illustrated Book
13502	Argentine	1965	Illustrated Book
13503	Argentine	1965	Illustrated Book
13504	Argentine	1965	Illustrated Book
13505	Argentine	1965	Illustrated Book
13506	Argentine	1965	Illustrated Book
13507	Argentine	1965	Illustrated Book
13508	Italian	1980	Illustrated Book
13509	Italian	1980	Illustrated Book
13510	Italian	1980	Illustrated Book
13511	Italian	1980	Illustrated Book
13512	Italian	1980	Illustrated Book
13513	Italian	1980	Illustrated Book
13514	Italian	1980	Illustrated Book
13515	Italian	1980	Illustrated Book
13516	Italian	1980	Illustrated Book
13517	Italian	1980	Illustrated Book
13518	Italian	1980	Illustrated Book
13519	Italian	1980	Illustrated Book
13520	Russian	1930	Illustrated Book
13521	Belgian	1967	Illustrated Book
13522	Belgian	1967	Illustrated Book
13523	Belgian	1967	Illustrated Book
13524	Belgian	1967	Illustrated Book
13525	Belgian	1967	Illustrated Book
13526	Belgian	1967	Illustrated Book
13527	Belgian	1967	Illustrated Book
13528	Belgian	1967	Illustrated Book
13529	Belgian	1967	Illustrated Book
13530	Belgian	1967	Illustrated Book
13531	Belgian	1967	Illustrated Book
13532	Argentine	1966	Illustrated Book
13533	Argentine	1966	Illustrated Book
13534	Argentine	1966	Illustrated Book
13535	Argentine	1966	Illustrated Book
13536	Argentine	1966	Illustrated Book
13537	Argentine	1966	Illustrated Book
13538	Argentine	1966	Illustrated Book
13539	Argentine	1966	Illustrated Book
13540	Argentine	1966	Illustrated Book
13541	Mexican	1984	Illustrated Book
13542	Mexican	1984	Illustrated Book
13543	Mexican	1984	Illustrated Book
13544	Mexican	1984	Illustrated Book
13545	Mexican	1984	Illustrated Book
13546	Mexican	1984	Illustrated Book
13547	Russian	1927	Illustrated Book
13548	Italian	1966	Illustrated Book
13549	Italian	1966	Illustrated Book
13550	Italian	1966	Illustrated Book
13551	Italian	1966	Illustrated Book
13552	Italian	1966	Illustrated Book
13553	Italian	1966	Illustrated Book
13554	Italian	1966	Illustrated Book
13555	Italian	1966	Illustrated Book
13556	Italian	1966	Illustrated Book
13557	Italian	1966	Illustrated Book
13558	Italian	1966	Illustrated Book
13559	Italian	1966	Illustrated Book
13560	Argentine	1967	Illustrated Book
13561	Argentine	1966	Illustrated Book
13562	Argentine	1967	Illustrated Book
13563	Argentine	1967	Illustrated Book
13564	Italian	1981	Illustrated Book
13565	Italian	1981	Illustrated Book
13566	Italian	1981	Illustrated Book
13567	Italian	1981	Illustrated Book
13568	Italian	1981	Illustrated Book
13569	Italian	1981	Illustrated Book
13570	Italian	1981	Illustrated Book
13571	Italian	1981	Illustrated Book
13572	Italian	1981	Illustrated Book
13573	Italian	1981	Illustrated Book
13574	Russian	1925	Illustrated Book
13575	French	1920	Illustrated Book
13576	American	1966	Illustrated Book
13577	American	1966	Illustrated Book
13578	American	1966	Illustrated Book
13579	American	1966	Illustrated Book
13580	American	1966	Illustrated Book
13581	American	1966	Illustrated Book
13582	American	1966	Illustrated Book
13583	American	1966	Illustrated Book
13584	American	1966	Illustrated Book
13585	American	1966	Illustrated Book
13586	American	1966	Illustrated Book
13587	American	1966	Illustrated Book
13588	American	1914	Illustrated Book
13589	Italian	1984	Illustrated Book
13590	Italian	1984	Illustrated Book
13591	Italian	1984	Illustrated Book
13592	Italian	1984	Illustrated Book
13593	Russian	1926	Illustrated Book
13594	French	1925	Illustrated Book
13595	French	1927	Illustrated Book
13596	French	1925	Illustrated Book
13597	French	1925	Illustrated Book
13598	French	1925	Illustrated Book
13599	French	1925	Illustrated Book
13600	French	1925	Illustrated Book
13601	French	1925	Illustrated Book
13602	French	1925	Illustrated Book
13603	French	1925	Illustrated Book
13604	French	1925	Illustrated Book
13605	French	1925	Illustrated Book
13606	French	1925	Illustrated Book
13607	French	1925	Illustrated Book
13608	French	1925	Illustrated Book
13609	French	1959	Illustrated Book
13610	Various	1959	Illustrated Book
13611	French	1959	Illustrated Book
13612	Spanish	1959	Illustrated Book
13613	Swedish	1959	Illustrated Book
13614	Czech	1959	Illustrated Book
13615	Canadian	1959	Illustrated Book
13616	French	1983	Illustrated Book
13617	French	1983	Illustrated Book
13618	French	1983	Illustrated Book
13619	French	1983	Illustrated Book
13620	Russian	1926	Illustrated Book
13621	Chilean	1963	Illustrated Book
13622	Chilean	1963	Illustrated Book
13623	Chilean	1963	Illustrated Book
13624	Chilean	1963	Illustrated Book
13625	Chilean	1963	Illustrated Book
13626	Chilean	1963	Illustrated Book
13627	Chilean	1963	Illustrated Book
13628	Chilean	1963	Illustrated Book
13629	Chilean	1963	Illustrated Book
13630	Chilean	1963	Illustrated Book
13631	Chilean	1963	Illustrated Book
13632	Chilean	1963	Illustrated Book
13633	Chilean	1963	Illustrated Book
13634	Chilean	1963	Illustrated Book
13635	Chilean	1963	Illustrated Book
13636	Chilean	1963	Illustrated Book
13637	Chilean	1963	Illustrated Book
13638	Chilean	1963	Illustrated Book
13639	Chilean	1963	Illustrated Book
13640	Chilean	1963	Illustrated Book
13641	Chilean	1963	Illustrated Book
13642	Chilean	1963	Illustrated Book
13643	Chilean	1963	Illustrated Book
13644	Chilean	1963	Illustrated Book
13645	Chilean	1963	Illustrated Book
13646	American	1981	Illustrated Book
13647	Russian	1926	Illustrated Book
13648	German	1916	Periodical
13649	German	1916	Periodical
13650	German	1916	Periodical
13651	German	1916	Periodical
13652	German	1916	Periodical
13653	German	1916	Periodical
13654	German	1916	Periodical
13655	German	1916	Periodical
13656	German	1916	Periodical
13657	German	1916	Periodical
13658	German	1916	Periodical
13659	German	1916	Periodical
13660	German	1916	Periodical
13661	German	1916	Periodical
13662	German	1916	Periodical
13663	German	1916	Periodical
13664	German	1916	Periodical
13665	German	1916	Periodical
13666	German	1916	Periodical
13667	German	1916	Periodical
13668	German	1916	Periodical
13669	Austrian	1916	Periodical
13670	German	1916	Periodical
13671	German	1916	Periodical
13672	German	1916	Periodical
13673	German	1916	Periodical
13674	German	1916	Periodical
13675	German	1916	Periodical
13676	German	1916	Periodical
13677	German	1916	Periodical
13678	Austrian	1916	Periodical
13679	German	1916	Periodical
13680	German	1916	Periodical
13681	German	1916	Periodical
13682	German	1916	Periodical
13683	German	1916	Periodical
13684	German	1916	Periodical
13685	German	1916	Periodical
13686	German	1916	Periodical
13687	German	1916	Periodical
13688	German	1916	Periodical
13689	German	1916	Periodical
13690	German	1916	Periodical
13691	Austrian	1916	Periodical
13692	German	1916	Periodical
13693	German	1916	Periodical
13694	German	1916	Periodical
13695	German	1916	Periodical
13696	German	1916	Periodical
13697	German	1916	Periodical
13698	German	1916	Periodical
13699	German	1916	Periodical
13700	Austrian	1916	Periodical
13701	German	1916	Periodical
13702	German	1916	Periodical
13703	German	1916	Periodical
13704	German	1916	Periodical
13705	German	1916	Periodical
13706	German	1916	Periodical
13707	German	1916	Periodical
13708	German	1916	Periodical
13709	Austrian	1916	Periodical
13710	Austrian	1916	Periodical
13711	German	1916	Periodical
13712	German	1916	Periodical
13713	German	1916	Periodical
13714	German	1916	Periodical
13715	German	1916	Periodical
13716	German	1916	Periodical
13717	German	1916	Periodical
13718	Austrian	1916	Periodical
13719	German	1916	Periodical
13720	German	1916	Periodical
13721	German	1916	Periodical
13722	German	1916	Periodical
13723	German	1916	Periodical
13724	Hungarian	1916	Periodical
13725	German	1916	Periodical
13726	German	1916	Periodical
13727	German	1916	Periodical
13728	German	1916	Periodical
13729	German	1916	Periodical
13730	German	1916	Periodical
13731	German	1916	Periodical
13732	German	1916	Periodical
13733	American	1985	Illustrated Book
13734	Russian	1926	Illustrated Book
13735	Polish	1983	Illustrated Book
13736	Russian	1926	Illustrated Book
13737	Spanish	1966	Illustrated Book
13738	Spanish	1966	Illustrated Book
13739	Spanish	1966	Illustrated Book
13740	Spanish	1966	Illustrated Book
13741	Spanish	1968	Illustrated Book
13742	Spanish	1968	Illustrated Book
13743	Spanish	1966	Illustrated Book
13744	Spanish	1966	Illustrated Book
13745	Spanish	1968	Illustrated Book
13746	Spanish	1968	Illustrated Book
13747	Spanish	1966	Illustrated Book
13748	Spanish	1966	Illustrated Book
13749	Spanish	1968	Illustrated Book
13750	American	1983	Illustrated Book
13751	Russian	1927	Illustrated Book
13752	American	1968	Illustrated Book
13753	American	1968	Illustrated Book
13754	American	1968	Illustrated Book
13755	American	1968	Illustrated Book
13756	American	1968	Illustrated Book
13757	American	1968	Illustrated Book
13758	American	1968	Illustrated Book
13759	American	1968	Illustrated Book
13760	American	1968	Illustrated Book
13761	American	1968	Illustrated Book
13762	American	1968	Illustrated Book
13763	American	1968	Illustrated Book
13764	American	1968	Illustrated Book
13765	American	1968	Illustrated Book
13766	American	1968	Illustrated Book
13767	American	1968	Illustrated Book
13768	American	1968	Illustrated Book
13769	American	1968	Illustrated Book
13770	American	1968	Illustrated Book
13771	American	1968	Illustrated Book
13772	American	1984	Illustrated Book
13773	Russian	1931	Illustrated Book
13774	Austrian	1913	Illustrated Book
13775	Austrian	1913	Illustrated Book
13776	Austrian	1913	Illustrated Book
13777	Austrian	1913	Illustrated Book
13778	Austrian	1913	Illustrated Book
13779	Austrian	1913	Illustrated Book
13780	Austrian	1913	Illustrated Book
13781	Austrian	1913	Illustrated Book
13782	Austrian	1913	Illustrated Book
13783	Chilean	1962	Illustrated Book
13784	Chilean	1962	Illustrated Book
13785	Chilean	1962	Illustrated Book
13786	Chilean	1962	Illustrated Book
13787	Chilean	1962	Illustrated Book
13788	Chilean	1962	Illustrated Book
13789	American	1984	Illustrated Book
13790	Russian	1928	Illustrated Book
13791	Chilean	1968	Illustrated Book
13792	Chilean	1968	Illustrated Book
13793	Chilean	1968	Illustrated Book
13794	Chilean	1968	Illustrated Book
13795	Chilean	1968	Illustrated Book
13796	Chilean	1968	Illustrated Book
13797	Chilean	1968	Illustrated Book
13798	Chilean	1968	Illustrated Book
13799	American	1984	Illustrated Book
13800	American	1984	Illustrated Book
13801	American	1984	Illustrated Book
13802	American	1984	Illustrated Book
13803	Russian	1927	Illustrated Book
13804	German	1965	Illustrated Book
13805	Russian	1929	Illustrated Book
13806	Russian	1918	Illustrated Book
13807	Russian	1918	Illustrated Book
13808	Russian	1918	Illustrated Book
13809	Russian	1923	Illustrated Book
13810	French	1984	Illustrated Book
13811	Russian	1923	Illustrated Book
13812	Russian	1923	Illustrated Book
13813	Romanian	1972	Illustrated Book
13814	Romanian	1972	Illustrated Book
13815	Romanian	1972	Illustrated Book
13816	Romanian	1972	Illustrated Book
13817	Russian	1930	Illustrated Book
13818	Spanish	1947	Illustrated Book
13819	Various	1947	Illustrated Book
13820	German	1947	Illustrated Book
13821	French	1947	Illustrated Book
13822	French	1947	Illustrated Book
13823	French	1947	Illustrated Book
13824	French	1947	Illustrated Book
13825	American	1947	Illustrated Book
13826	American	1947	Illustrated Book
13827	Belgian	1947	Illustrated Book
13828	American	1947	Illustrated Book
13829	Romanian	1947	Illustrated Book
13830	Brazilian	1947	Illustrated Book
13831	French	1947	Illustrated Book
13832	American	1947	Illustrated Book
13833	American	1947	Illustrated Book
13834	Swiss	1947	Illustrated Book
13835	Czech	1947	Illustrated Book
13836	Chilean	1947	Illustrated Book
13837	American	1947	Illustrated Book
13838	American	1947	Illustrated Book
13839	American	1947	Illustrated Book
13840	American	1947	Illustrated Book
13841	Cuban	1947	Illustrated Book
13842	Romanian	1947	Illustrated Book
